merchant_id,name_en,name_ar,category,in_directory,descriptor_patterns,amount_mean,amount_std,recurrence,aggregator,cities
M0120,Domino's Pizza,دومينوز بيتزا,food,True,"[""DOMINOS PIZZA"", ""DOMINOSPIZZA"", ""DOMINOS_PIZZA"", ""DP"", ""SP*DOMINOSP""]",65.17,26.07,none,MRSOOL,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0121,Mrsool,مرسول,transport,True,"[""MRSOOL"", ""SP*MRSOOL""]",40.07,18.03,none,,"[""DMM"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0122,SEC (electricity),السعودية للكهرباء,bills,True,"[""SADAD-SEC"", ""الشركة السعودية للكهرباء""]",350,150,monthly,,"[""JIZAN"", ""MAD"", ""MAK""]"
M0123,Burger King,برجر كنج,food,True,"[""BK"", ""BURGER KING"", ""BURGERKING"", ""BURGER_KING""]",84.24,33.7,none,,"[""KHOBAR"", ""MAD"", ""RYD""]"
M0124,Tabuk Service Center,مركز خدمة تبوك,government,True,"[""TABUK SERVICE CENTER"", ""TABUKSERVICECENTER"", ""TABUK_SERVICE_CENTER"", ""TSC""]",324.3,194.58,none,,"[""JED"", ""NJRAN"", ""QASSIM""]"
M0125,Jed Foundation,مؤسسة جدة,charity,False,"[""JED FOUNDATION"", ""JEDFOUNDATION"", ""JED_FOUNDATION"", ""JF"", ""SP*JEDFOUND""]",115.26,69.16,none,,"[""ABHA"", ""KHOBAR"", ""NJRAN""]"
M0126,Papa John's,بابا جونز,food,True,"[""PAPA JOHNS"", ""PAPAJOHNS"", ""PAPA_JOHNS"", ""PJ""]",63.41,25.36,none,,"[""ABHA""]"
M0127,Dmm Telecom,اتصالات الدمام,telecom,False,"[""DMM TELECOM"", ""DMMTELECOM"", ""DMM_TELECOM"", ""DT""]",54.78,16.43,monthly,,"[""JIZAN"", ""RYD"", ""YANBU""]"
M0128,Abha Grocery 49,بقالة أبها 49,groceries,True,"[""ABHA GROCERY 49"", ""ABHAGROCERY49"", ""ABHA_GROCERY_49"", ""AG4""]",91.79,45.9,none,,"[""DMM"", ""MAD"", ""MAK""]"
M0129,Yanbu Kitchen,مطبخ ينبع,food,True,"[""YANBU KITCHEN"", ""YANBUKITCHEN"", ""YANBU_KITCHEN"", ""YK""]",81.61,32.64,none,,"[""DMM"", ""KHOBAR"", ""MAK""]"
M0130,Dmm Shop 32,محل الدمام 32,shopping,True,"[""DMM SHOP 32"", ""DMMSHOP32"", ""DMM_SHOP_32"", ""DS3""]",158.65,95.19,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0131,Booking.com,بوكينج,travel,False,"[""BOOKING.COM"", ""BOOKINGCOM""]",931.2,465.6,none,,"[""YANBU""]"
M0132,Dmm Eatery,مطعم صغير الدمام,food,True,"[""DE"", ""DMM EATERY"", ""DMMEATERY"", ""DMM_EATERY"", ""SP*DMMEATER""]",87.75,35.1,none,,"[""JED"", ""MAK"", ""RYD""]"
M0133,Qassim Medical Center,مركز طبي القصيم,health,True,"[""QASSIM MEDICAL CENTER"", ""QASSIMMEDICALCENTER"", ""QASSIM_MEDICAL_CENTER"", ""QMC""]",287.76,143.88,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0134,Tif Supermarket,سوبر ماركت الطائف,groceries,True,"[""SP*TIFSUPER"", ""TIF SUPERMARKET"", ""TIFSUPERMARKET"", ""TIF_SUPERMARKET"", ""TS""]",132.39,66.19,none,,"[""KHOBAR"", ""MAD"", ""RYD""]"
M0135,Qassim Utility Co,مرافق القصيم,bills,False,"[""QASSIM UTILITY CO"", ""QASSIMUTILITYCO"", ""QASSIM_UTILITY_CO"", ""QUC""]",112.83,39.49,monthly,,"[""HAIL"", ""NJRAN"", ""YANBU""]"
M0136,Othaim,العثيم,groceries,True,"[""OTHAIM"", ""AL OTHAIM""]",170.24,85.12,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""RYD""]"
M0137,Hail Supermarket,سوبر ماركت حائل,groceries,False,"[""HAIL SUPERMARKET"", ""HAILSUPERMARKET"", ""HAIL_SUPERMARKET"", ""HS""]",265.77,132.88,none,,"[""DMM"", ""MAD""]"
M0138,Saudi Red Crescent,الهلال الأحمر السعودي,charity,True,"[""SAUDI RED CRESCENT"", ""SAUDIREDCRESCENT"", ""SAUDI_RED_CRESCENT"", ""SRC""]",228.7,137.22,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0139,Jed Eatery,مطعم صغير جدة,food,False,"[""JE"", ""JED EATERY"", ""JEDEATERY"", ""JED_EATERY""]",72.03,28.81,none,HUNGERSTATION,"[""MAD"", ""NJRAN"", ""RYD""]"
M0140,Jizan Training Center,مركز تدريب جازان,education,False,"[""JIZAN TRAINING CENTER"", ""JIZANTRAININGCENTER"", ""JIZAN_TRAINING_CENTER"", ""JTC""]",401.36,200.68,none,,"[""JED""]"
M0141,Tabuk Travel Agency,وكالة سفريات تبوك,travel,True,"[""SP*TABUKTRA"", ""TABUK TRAVEL AGENCY"", ""TABUKTRAVELAGENCY"", ""TABUK_TRAVEL_AGENCY"", ""TTA""]",1933.92,966.96,none,,"[""DMM"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0142,Ryd Clinic 28,عيادة الرياض 28,health,True,"[""RC2"", ""RYD CLINIC 28"", ""RYDCLINIC28"", ""RYD_CLINIC_28"", ""SP*RYDCLINI""]",58.47,29.23,none,,"[""MAD"", ""MAK"", ""RYD""]"
M0143,Njran Charity,جمعية خيرية نجران,charity,False,"[""NC"", ""NJRAN CHARITY"", ""NJRANCHARITY"", ""NJRAN_CHARITY""]",47.58,28.55,none,,"[""MAD""]"
M0144,Qassim Parking,موقف سيارات القصيم,transport,True,"[""QASSIM PARKING"", ""QASSIMPARKING"", ""QASSIM_PARKING"", ""QP""]",50.39,22.68,none,,"[""MAD"", ""RYD"", ""TIF""]"
M0145,Jed Pharmacy 86,صيدلية جدة 86,health,True,"[""JED PHARMACY 86"", ""JEDPHARMACY86"", ""JED_PHARMACY_86"", ""JP8""]",254.15,127.08,none,,"[""TABUK""]"
M0146,Qassim Parking 32,موقف سيارات القصيم 32,transport,False,"[""QASSIM PARKING 32"", ""QASSIMPARKING32"", ""QASSIM_PARKING_32"", ""QP3""]",94.13,42.36,none,,"[""QASSIM"", ""RYD""]"
M0147,Khobar Utility Co 72,مرافق الخبر 72,bills,True,"[""KHOBAR UTILITY CO 72"", ""KHOBARUTILITYCO72"", ""KHOBAR_UTILITY_CO_72"", ""KUC7"", ""SP*KHOBARUT""]",185.43,64.9,monthly,,"[""ABHA"", ""MAK"", ""TABUK""]"
M0148,Yanbu Medical Center,مركز طبي ينبع,health,True,"[""SP*YANBUMED"", ""YANBU MEDICAL CENTER"", ""YANBUMEDICALCENTER"", ""YANBU_MEDICAL_CENTER"", ""YMC""]",398.72,199.36,none,,"[""HAIL"", ""NJRAN""]"
M0149,Dmm Store 66,محل بقالة الدمام 66,groceries,True,"[""DMM STORE 66"", ""DMMSTORE66"", ""DMM_STORE_66"", ""DS6"", ""SP*DMMSTORE""]",76.07,38.03,none,,"[""DMM"", ""JED"", ""MAD"", ""MAK"", ""RYD""]"
M0150,Tabuk Medical Center 76,مركز طبي تبوك 76,health,False,"[""TABUK MEDICAL CENTER 76"", ""TABUKMEDICALCENTER76"", ""TABUK_MEDICAL_CENTER_76"", ""TMC7""]",424.65,212.32,none,,"[""JED"", ""MAD"", ""NJRAN""]"
M0151,Nike,نايك,shopping,True,"[""NIKE"", ""SP*NIKE""]",157.8,94.68,none,,"[""DMM"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0152,Jizan Academy,أكاديمية جازان,education,True,"[""JA"", ""JIZAN ACADEMY"", ""JIZANACADEMY"", ""JIZAN_ACADEMY""]",1421.75,710.88,none,,"[""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0153,Jizan Outlet 42,آوتلت جازان 42,shopping,True,"[""JIZAN OUTLET 42"", ""JIZANOUTLET42"", ""JIZAN_OUTLET_42"", ""JO4""]",118.57,71.14,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0154,Abha Tours,رحلات أبها,travel,True,"[""ABHA TOURS"", ""ABHATOURS"", ""ABHA_TOURS"", ""AT""]",1546.14,773.07,none,,"[""HAIL"", ""JED"", ""RYD""]"
M0155,Mak Cafe,مقهى مكة,food,True,"[""MAK CAFE"", ""MAKCAFE"", ""MAK_CAFE"", ""MC""]",23.32,9.33,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0156,Almosafer,المسافر,travel,True,"[""ALMOSAFER"", ""SP*ALMOSAFE""]",2181.98,1090.99,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0157,Dmm Services,خدمات الدمام,bills,True,"[""DMM SERVICES"", ""DMMSERVICES"", ""DMM_SERVICES"", ""DS""]",100.14,35.05,monthly,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0158,Herfy,هرفي,food,True,"[""HERFY"", ""HERFY REST""]",46.64,18.66,none,HUNGERSTATION,"[""JED"", ""MAD"", ""MAK""]"
M0159,Jed Shop,محل جدة,shopping,True,"[""JED SHOP"", ""JEDSHOP"", ""JED_SHOP"", ""JS""]",586.9,352.14,none,,"[""JED""]"
M0160,Abha Game Zone,صالة ألعاب أبها,entertainment,False,"[""ABHA GAME ZONE"", ""ABHAGAMEZONE"", ""ABHA_GAME_ZONE"", ""AGZ""]",35.72,10.72,none,,"[""MAK"", ""RYD""]"
M0161,Tif Fuel Station,محطة وقود الطائف,transport,True,"[""TFS"", ""TIF FUEL STATION"", ""TIFFUELSTATION"", ""TIF_FUEL_STATION""]",52.11,23.45,none,,"[""JED"", ""MAK"", ""RYD""]"
M0162,Qassim Mart,تموينات القصيم,groceries,True,"[""QASSIM MART"", ""QASSIMMART"", ""QASSIM_MART"", ""QM""]",101.41,50.7,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD""]"
M0163,Hail Supermarket 18,سوبر ماركت حائل 18,groceries,False,"[""HAIL SUPERMARKET 18"", ""HAILSUPERMARKET18"", ""HAIL_SUPERMARKET_18"", ""HS1""]",286.28,143.14,none,,"[""NJRAN""]"
M0164,Home Centre,هوم سنتر,shopping,True,"[""HC"", ""HOME CENTRE"", ""HOMECENTRE"", ""HOME_CENTRE""]",237.48,142.49,none,,"[""HAIL""]"
M0165,Sasco,ساسكو,transport,True,"[""SASCO""]",45.78,20.6,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""RYD""]"
M0166,Qassim Grocery,بقالة القصيم,groceries,False,"[""QASSIM GROCERY"", ""QASSIMGROCERY"", ""QASSIM_GROCERY"", ""QG""]",184.97,92.48,none,,"[""KHOBAR"", ""NJRAN"", ""TIF""]"
M0167,Petromin,بترومين,transport,True,"[""PETROMIN""]",182.87,82.29,none,,"[""JED"", ""MAD"", ""QASSIM""]"
M0168,Abha Grocery,بقالة أبها,groceries,True,"[""ABHA GROCERY"", ""ABHAGROCERY"", ""ABHA_GROCERY"", ""AG"", ""SP*ABHAGROC""]",131.9,65.95,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0169,Yanbu Parking,موقف سيارات ينبع,transport,False,"[""SP*YANBUPAR"", ""YANBU PARKING"", ""YANBUPARKING"", ""YANBU_PARKING"", ""YP""]",132.75,59.74,none,,"[""DMM"", ""JED"", ""NJRAN""]"
M0170,Khobar Grill 58,مشوي الخبر 58,food,True,"[""KG5"", ""KHOBAR GRILL 58"", ""KHOBARGRILL58"", ""KHOBAR_GRILL_58""]",48.17,19.27,none,,"[""DMM"", ""MAD"", ""MAK""]"
M0171,Ryd Restaurant 63,مطعم الرياض 63,food,False,"[""RR6"", ""RYD RESTAURANT 63"", ""RYDRESTAURANT63"", ""RYD_RESTAURANT_63"", ""SP*RYDRESTA""]",46.97,18.79,none,,"[""JED"", ""YANBU""]"
M0172,Cool District Cooling,كول للتبريد المركزي,bills,True,"[""CDC"", ""COOL DISTRICT COOLING"", ""COOLDISTRICTCOOLING"", ""COOL_DISTRICT_COOLING"", ""SP*COOLDIST""]",164.25,57.49,monthly,,"[""JED"", ""JIZAN""]"
M0173,Starbucks,ستاربكس,food,True,"[""STARBUCKS"", ""SBUX""]",28,12,none,,"[""DMM"", ""MAD""]"
M0174,Jizan Mart 90,تموينات جازان 90,groceries,False,"[""JIZAN MART 90"", ""JIZANMART90"", ""JIZAN_MART_90"", ""JM9""]",151.94,75.97,none,,"[""JED"", ""MAD"", ""YANBU""]"
M0175,Mak Game Zone,صالة ألعاب مكة,entertainment,False,"[""MAK GAME ZONE"", ""MAKGAMEZONE"", ""MAK_GAME_ZONE"", ""MGZ""]",58.36,17.51,none,,"[""ABHA"", ""DMM"", ""RYD""]"
M0176,Mad Store 94,متجر المدينة 94,shopping,True,"[""MAD STORE 94"", ""MADSTORE94"", ""MAD_STORE_94"", ""MS9"", ""SP*MADSTORE""]",440.04,264.02,none,,"[""DMM"", ""JED"", ""MAD"", ""MAK""]"
M0177,Mad Mobile Shop,محل جوالات المدينة,telecom,False,"[""MAD MOBILE SHOP"", ""MADMOBILESHOP"", ""MAD_MOBILE_SHOP"", ""MMS""]",235.21,70.56,monthly,,"[""ABHA"", ""KHOBAR"", ""YANBU""]"
M0178,Tabuk Kitchen,مطبخ تبوك,food,False,"[""TABUK KITCHEN"", ""TABUKKITCHEN"", ""TABUK_KITCHEN"", ""TK""]",62.66,25.06,none,,"[""DMM"", ""JED"", ""TIF""]"
M0179,Khobar Services,خدمات الخبر,bills,True,"[""KHOBAR SERVICES"", ""KHOBARSERVICES"", ""KHOBAR_SERVICES"", ""KS""]",323.8,113.33,monthly,,"[""DMM"", ""JED"", ""MAD"", ""RYD""]"
M0180,Tif Diner,مطعم شعبي الطائف,food,False,"[""SP*TIFDINER"", ""TD"", ""TIF DINER"", ""TIFDINER"", ""TIF_DINER""]",89.45,35.78,none,,"[""MAD"", ""RYD"", ""TIF""]"
M0181,Ryd Bakery,مخبز الرياض,food,True,"[""RB"", ""RYD BAKERY"", ""RYDBAKERY"", ""RYD_BAKERY""]",49.11,19.64,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0182,Mama Noura,ماما نورة,food,True,"[""MAMA NOURA"", ""MAMANOURA"", ""MAMA_NOURA"", ""MN""]",67.93,27.17,none,HUNGERSTATION,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0183,Mad Clinic 32,عيادة المدينة 32,health,True,"[""MAD CLINIC 32"", ""MADCLINIC32"", ""MAD_CLINIC_32"", ""MC3""]",195.02,97.51,none,,"[""DMM"", ""MAK"", ""RYD""]"
M0184,Njran Diner 69,مطعم شعبي نجران 69,food,True,"[""ND6"", ""NJRAN DINER 69"", ""NJRANDINER69"", ""NJRAN_DINER_69"", ""SP*NJRANDIN""]",35.44,14.18,none,,"[""JIZAN"", ""KHOBAR""]"
M0185,Hail Service Center,مركز خدمة حائل,government,True,"[""HAIL SERVICE CENTER"", ""HAILSERVICECENTER"", ""HAIL_SERVICE_CENTER"", ""HSC"", ""SP*HAILSERV""]",362.37,217.42,none,,"[""DMM"", ""JED"", ""MAD"", ""MAK"", ""RYD""]"
M0186,Dr. Sulaiman Al Habib Hospital,مستشفى د. سليمان الحبيب,health,True,"[""DR. SULAIMAN AL HABIB HOSPITAL"", ""DR._SULAIMAN_AL_HABIB_HOSPITAL"", ""DRSULAIMANALHABIBHOSPITAL"", ""DSAHH""]",311.17,155.59,none,,"[""DMM"", ""JED"", ""MAD"", ""MAK"", ""RYD""]"
M0187,Yanbu Shop,محل ينبع,shopping,True,"[""YANBU SHOP"", ""YANBUSHOP"", ""YANBU_SHOP"", ""YS""]",437.71,262.63,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0188,Qassim Grill,مشوي القصيم,food,True,"[""QASSIM GRILL"", ""QASSIMGRILL"", ""QASSIM_GRILL"", ""QG""]",84.14,33.66,none,,"[""NJRAN"", ""YANBU""]"
M0189,Ehsan,إحسان,charity,True,"[""EHSAN""]",142.84,85.7,none,,"[""KHOBAR"", ""MAD"", ""MAK""]"
M0190,Mak Mobile Shop,محل جوالات مكة,telecom,True,"[""MAK MOBILE SHOP"", ""MAKMOBILESHOP"", ""MAK_MOBILE_SHOP"", ""MMS""]",192.23,57.67,monthly,,"[""DMM"", ""KHOBAR"", ""MAD""]"
M0191,Tif Grocery,بقالة الطائف,groceries,True,"[""TG"", ""TIF GROCERY"", ""TIFGROCERY"", ""TIF_GROCERY""]",135.48,67.74,none,,"[""ABHA"", ""JIZAN""]"
M0192,Qassim Restaurant 86,مطعم القصيم 86,food,True,"[""QASSIM RESTAURANT 86"", ""QASSIMRESTAURANT86"", ""QASSIM_RESTAURANT_86"", ""QR8"", ""SP*QASSIMRE""]",72.47,28.99,none,,"[""JED"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0193,Al Hammadi Hospital,الحمادي,health,True,"[""AHH"", ""AL HAMMADI HOSPITAL"", ""ALHAMMADIHOSPITAL"", ""AL_HAMMADI_HOSPITAL""]",209.92,104.96,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0194,Yanbu Services,خدمات ينبع,bills,True,"[""YANBU SERVICES"", ""YANBUSERVICES"", ""YANBU_SERVICES"", ""YS""]",292.2,102.27,monthly,,"[""RYD""]"
M0195,Adidas,اديداس,shopping,True,"[""ADIDAS"", ""SP*ADIDAS""]",109.59,65.75,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""RYD""]"
M0196,Mak Pharmacy,صيدلية مكة,health,False,"[""MAK PHARMACY"", ""MAKPHARMACY"", ""MAK_PHARMACY"", ""MP""]",440.36,220.18,none,,"[""MAD""]"
M0197,Jizan Kitchen,مطبخ جازان,food,True,"[""JIZAN KITCHEN"", ""JIZANKITCHEN"", ""JIZAN_KITCHEN"", ""JK"", ""SP*JIZANKIT""]",49.02,19.61,none,,"[""JED"", ""MAD"", ""RYD""]"
M0198,Dmm Parking,موقف سيارات الدمام,transport,True,"[""DMM PARKING"", ""DMMPARKING"", ""DMM_PARKING"", ""DP""]",185.59,83.52,none,,"[""DMM"", ""JIZAN"", ""MAD""]"
M0199,Carrefour,كارفور,groceries,True,"[""CARREFOUR"", ""CRF""]",346.96,173.48,none,,"[""HAIL"", ""KHOBAR"", ""MAK""]"
M0200,Jizan Diner,مطعم شعبي جازان,food,True,"[""JD"", ""JIZAN DINER"", ""JIZANDINER"", ""JIZAN_DINER""]",41.42,16.57,none,,"[""ABHA"", ""JIZAN"", ""YANBU""]"
M0201,Tabuk Store,محل بقالة تبوك,groceries,True,"[""TABUK STORE"", ""TABUKSTORE"", ""TABUK_STORE"", ""TS""]",174.41,87.2,none,,"[""KHOBAR""]"
M0202,Tif Store 11,متجر الطائف 11,shopping,True,"[""TIF STORE 11"", ""TIFSTORE11"", ""TIF_STORE_11"", ""TS1""]",552.16,331.3,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0203,Njran Foundation 56,مؤسسة نجران 56,charity,True,"[""NF5"", ""NJRAN FOUNDATION 56"", ""NJRANFOUNDATION56"", ""NJRAN_FOUNDATION_56""]",139.02,83.41,none,,"[""KHOBAR"", ""MAD"", ""TIF""]"
M0204,Dmm Bistro,بيسترو الدمام,food,False,"[""DB"", ""DMM BISTRO"", ""DMMBISTRO"", ""DMM_BISTRO""]",42.55,17.02,none,,"[""JIZAN""]"
M0205,Njran Travel Agency,وكالة سفريات نجران,travel,True,"[""NJRAN TRAVEL AGENCY"", ""NJRANTRAVELAGENCY"", ""NJRAN_TRAVEL_AGENCY"", ""NTA"", ""SP*NJRANTRA""]",553.23,276.62,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0206,Boulevard Riyadh City,بوليفارد رياض سيتي,entertainment,True,"[""BOULEVARD RIYADH CITY"", ""BOULEVARDRIYADHCITY"", ""BOULEVARD_RIYADH_CITY"", ""BRC""]",60.98,18.29,none,,"[""JIZAN"", ""KHOBAR"", ""YANBU""]"
M0207,Mak Grocery 14,بقالة مكة 14,groceries,True,"[""MAK GROCERY 14"", ""MAKGROCERY14"", ""MAK_GROCERY_14"", ""MG1"", ""SP*MAKGROCE""]",268.03,134.01,none,,"[""QASSIM""]"
M0208,Yanbu Game Zone 96,صالة ألعاب ينبع 96,entertainment,True,"[""YANBU GAME ZONE 96"", ""YANBUGAMEZONE96"", ""YANBU_GAME_ZONE_96"", ""YGZ9""]",58.57,17.57,none,,"[""DMM"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0209,Farm Superstores,فارم سوبر ستورز,groceries,True,"[""FARM SUPERSTORES"", ""FARMSUPERSTORES"", ""FARM_SUPERSTORES"", ""FS""]",160.25,80.12,none,,"[""JED"", ""MAD"", ""MAK""]"
M0210,Dmm Institute,معهد الدمام,education,False,"[""DI"", ""DMM INSTITUTE"", ""DMMINSTITUTE"", ""DMM_INSTITUTE""]",749.29,374.64,none,,"[""DMM"", ""RYD"", ""YANBU""]"
M0211,Hail Cinema 78,سينما حائل 78,entertainment,False,"[""HAIL CINEMA 78"", ""HAILCINEMA78"", ""HAIL_CINEMA_78"", ""HC7""]",39.55,11.86,none,,"[""JIZAN"", ""YANBU""]"
M0212,Najiz,ناجز,government,True,"[""NAJIZ""]",222.32,133.39,none,,"[""TABUK""]"
M0213,KFC,كنتاكي,food,True,"[""KFC""]",40.45,16.18,none,HUNGERSTATION,"[""DMM"", ""JED"", ""MAD"", ""MAK""]"
M0214,Njran Restaurant,مطعم نجران,food,True,"[""NJRAN RESTAURANT"", ""NJRANRESTAURANT"", ""NJRAN_RESTAURANT"", ""NR""]",35.41,14.16,none,,"[""DMM"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0215,Ryd Clinic,عيادة الرياض,health,True,"[""RC"", ""RYD CLINIC"", ""RYDCLINIC"", ""RYD_CLINIC""]",446.44,223.22,none,,"[""DMM""]"
M0216,Njran Clinic,عيادة نجران,health,True,"[""NC"", ""NJRAN CLINIC"", ""NJRANCLINIC"", ""NJRAN_CLINIC""]",92.04,46.02,none,,"[""DMM"", ""MAD"", ""RYD""]"
M0217,Mak Supermarket,سوبر ماركت مكة,groceries,True,"[""MAK SUPERMARKET"", ""MAKSUPERMARKET"", ""MAK_SUPERMARKET"", ""MS""]",147.82,73.91,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""RYD""]"
M0218,Tif Gas Station,محطة بنزين الطائف,transport,True,"[""TGS"", ""TIF GAS STATION"", ""TIFGASSTATION"", ""TIF_GAS_STATION""]",177.85,80.03,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0219,Hail Shop,محل حائل,shopping,False,"[""HAIL SHOP"", ""HAILSHOP"", ""HAIL_SHOP"", ""HS""]",543.35,326.01,none,,"[""JIZAN""]"
M0220,Jed Boutique,بوتيك جدة,shopping,True,"[""JB"", ""JED BOUTIQUE"", ""JEDBOUTIQUE"", ""JED_BOUTIQUE""]",109.88,65.93,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0221,Qassim Telecom,اتصالات القصيم,telecom,True,"[""QASSIM TELECOM"", ""QASSIMTELECOM"", ""QASSIM_TELECOM"", ""QT""]",242.24,72.67,monthly,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0222,Abha Cinema,سينما أبها,entertainment,True,"[""ABHA CINEMA"", ""ABHACINEMA"", ""ABHA_CINEMA"", ""AC""]",51.19,15.36,none,,"[""RYD"", ""TIF""]"
M0223,Mak Tours,رحلات مكة,travel,False,"[""MAK TOURS"", ""MAKTOURS"", ""MAK_TOURS"", ""MT""]",2732.8,1366.4,none,,"[""DMM"", ""MAD""]"
M0224,Ryd Government Office,مكتب حكومي الرياض,government,False,"[""RGO"", ""RYD GOVERNMENT OFFICE"", ""RYDGOVERNMENTOFFICE"", ""RYD_GOVERNMENT_OFFICE""]",211.64,126.98,none,,"[""MAK"", ""RYD"", ""TABUK""]"
M0225,Hail Bakery,مخبز حائل,food,True,"[""HAIL BAKERY"", ""HAILBAKERY"", ""HAIL_BAKERY"", ""HB""]",26.45,10.58,none,JAHEZ,"[""DMM"", ""JED"", ""KHOBAR""]"
M0226,Qassim Clinic,عيادة القصيم,health,True,"[""QASSIM CLINIC"", ""QASSIMCLINIC"", ""QASSIM_CLINIC"", ""QC""]",267.57,133.78,none,,"[""DMM"", ""JED"", ""MAD""]"
M0227,Dmm Store 85,محل بقالة الدمام 85,groceries,False,"[""DMM STORE 85"", ""DMMSTORE85"", ""DMM_STORE_85"", ""DS8""]",314.74,157.37,none,,"[""NJRAN""]"
M0228,Njran Mall 90,مول نجران 90,shopping,True,"[""NJRAN MALL 90"", ""NJRANMALL90"", ""NJRAN_MALL_90"", ""NM9"", ""SP*NJRANMAL""]",280.78,168.47,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0229,Anghami,أنغامي,entertainment,True,"[""ANGHAMI"", ""SP*ANGHAMI""]",87.76,26.33,monthly,,"[""ABHA"", ""NJRAN"", ""YANBU""]"
M0230,Vox Cinemas,فوكس سينما,entertainment,True,"[""SP*VOXCINEM"", ""VC"", ""VOX CINEMAS"", ""VOXCINEMAS"", ""VOX_CINEMAS""]",37.42,11.23,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0231,Al Faisal University,جامعة الفيصل,education,True,"[""AFU"", ""AL FAISAL UNIVERSITY"", ""ALFAISALUNIVERSITY"", ""AL_FAISAL_UNIVERSITY"", ""SP*ALFAISAL""]",678.3,339.15,none,,"[""JED"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0232,Rwaq,رواق,education,True,"[""RWAQ"", ""SP*RWAQ""]",771.92,385.96,monthly,,"[""JED"", ""MAK"", ""RYD""]"
M0233,Tabuk Store 43,متجر تبوك 43,shopping,True,"[""TABUK STORE 43"", ""TABUKSTORE43"", ""TABUK_STORE_43"", ""TS4""]",582.56,349.54,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD""]"
M0234,Tif Medical Center 6,مركز طبي الطائف 6,health,True,"[""TIF MEDICAL CENTER 6"", ""TIFMEDICALCENTER6"", ""TIF_MEDICAL_CENTER_6"", ""TMC6""]",408.19,204.09,none,,"[""ABHA"", ""DMM"", ""JED""]"
M0235,Dmm Training Center 71,مركز تدريب الدمام 71,education,True,"[""DMM TRAINING CENTER 71"", ""DMMTRAININGCENTER71"", ""DMM_TRAINING_CENTER_71"", ""DTC7"", ""SP*DMMTRAIN""]",907.6,453.8,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAK""]"
M0236,Mad Restaurant,مطعم المدينة,food,True,"[""MAD RESTAURANT"", ""MADRESTAURANT"", ""MAD_RESTAURANT"", ""MR"", ""SP*MADRESTA""]",46.57,18.63,none,MRSOOL,"[""ABHA"", ""JED"", ""TABUK""]"
M0237,Tabuk Cafe,مقهى تبوك,food,True,"[""TABUK CAFE"", ""TABUKCAFE"", ""TABUK_CAFE"", ""TC""]",43.25,17.3,none,,"[""HAIL"", ""JED"", ""QASSIM""]"
